jd,oc
12741.677029098426, 0.059341764522425317
12777.946176204823, 0.07982114255448075
14403.068664442051, 0.0645591614132345
15855.015222250064, 0.026119073727760456
16955.173840075593, 0.006296701230103174
18804.96920606953, -0.02161732546374892
20716.71637185569, -0.05219473961133883
22259.035017330214, -0.06739849497006026
23679.89528952119, -0.07937415792911665
25318.024738694352, -0.09967385248372332
27286.539380335264, -0.10419302018512169
32721.372433640245, -0.13861839381377242
34575.010173074406, -0.1346505380540262
36431.86785556822, -0.11492796089528742
37636.19036245206, -0.07379355033891796
37530.214284644266, -0.09783117063638078
39160.71891433108, -0.05241964497428478
40327.0210491095, -0.011880412781877209
42180.992708564656, -0.006278734062235475
44032.60307644274, -0.01223051770185482
45887.74345597141, -0.0009104586225787692
47741.66741256643, 0.004457816817077964
49594.5419062383, 0.00469122009706302
51569.63410902514, -0.01519182181666548
53360.45294574665, -0.03013643933137647
55178.86391182252, -0.023396919621807427
56286.281238516654, -0.01342670951177835
10064.806603451807, 0.17336448598130838
28092.548377560997, -0.11947040498442366
29625.395092889463, -0.11947040498442366
30292.01628123792, -0.10778816199376948
31107.942788275694, -0.11557632398753895
31106.51022125202, -0.1225856697819315
31156.172544739296, -0.12959501557632405
32941.46940446142, -0.14439252336448596
33605.8621552175, -0.14361370716510904
33553.812220024105, -0.14828660436137073
39351.729313050004, -0.02990654205607482
19269.36807876845, -0.040031152647975105
17794.93826318303, -0.004205607476635537
15709.43902494486, 0.041744548286604316
14636.605498328674, 0.04252336448598126
13822.111558314577, 0.05732087227414326
13416.376742388069, 0.07211838006230525
12295.7909816495, 0.08925233644859809
43135.7755190213, -0.015109034267912796
41658.16222116107, 0.005140186915887829
